,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
94,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
積層オートエンコーダは、オートエンコーダを積み重ねたものである。しかし、オートエンコーダをいくら積み重ねたとしても、出力値と入力値が同じになるように学習しているため、（ア）の状態である。そこで、出力層に予測を行う層を追加することで、予測などを行うことができるようになる。これにより、（イ）が可能になる。",教師なし学習,教師あり学習,半教師あり学習,強化学習,1,"選択肢1が正解です。
教師なし学習とは、正解が与えられていないデータをもとに、ルールやパターンを学習していく手法のことで、クラスタリングや次元削減（次元圧縮）などでよく使われます。

選択肢2：教師あり学習とは、正解が与えられれたデータをもとに、ルールやパターンを学習していく手法のことで、分類問題や回帰問題を解くときなどによく使われます。
選択肢3：半教師あり学習とは、教師なし学習と教師あり学習を組み合わせた学習手法のことです。半教師あり学習では、少量のラベル付きデータで学習し、ラベルが付いていない大量のデータで学習することで、ラベル付きデータを集めるコストを下げることができます。
選択肢4：強化学習とは、与えられた環境下で、報酬が最大となる行動を行うように学習していく手法のことを言います。"
95,ディープラーニングの概要,"（イ）に最もよく当てはまる選択肢を選んでください。
積層オートエンコーダは、オートエンコーダを積み重ねたものである。しかし、オートエンコーダをいくら積み重ねたとしても、出力値と入力値が同じになるように学習しているため、（ア）の状態である。そこで、出力層に予測を行う層を追加することで、予測などを行うことができるようになる。これにより、（イ）が可能になる。",教師なし学習,教師あり学習,半教師あり学習,強化学習,2,"選択肢2が正解です。
教師あり学習とは、正解が与えられれたデータをもとに、ルールやパターンを学習していく手法のことで、分類問題や回帰問題を解くときなどによく使われます。

選択肢1：教師なし学習とは、正解が与えられていないデータをもとに、ルールやパターンを学習していく手法のことで、クラスタリングや次元削減（次元圧縮）などでよく使われます。
選択肢3：半教師あり学習とは、教師なし学習と教師あり学習を組み合わせた学習手法のことです。半教師あり学習では、少量のラベル付きデータで学習し、ラベルが付いていない大量のデータで学習することで、ラベル付きデータを集めるコストを下げることができます。
選択肢4：強化学習とは、与えられた環境下で、報酬が最大となる行動を行うように学習していく手法のことを言います。"
96,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
積層オートエンコーダにロジスティック層などを後から加えた場合、モデル全体の重みを調整する必要がある。このように、仕上げとして、モデル全体の重みを調整することを（ア）という。",ファインチューニング,データリーケージ,ドメインランダマイゼーション,カウントエンコーディング,1,"選択肢1が正解です。
ファインチューニングとは、学習済みのモデルの一部と新しく追加したモデルを組み合わせたモデルなどのパラメータを微調整することを言います。

選択肢2：データリーケージとは、訓練データ・検証データにテストデータにすべき未知のデータ（本来得られるはずのないデータ）が入ってしまうことを言います。
選択肢3：ドメインランダマイゼーションとは、シミュレータの設定をランダムに変更することで、シュミレータと現実世界のギャップを小さくし、シミュレータから実世界へ移行させたときのモデルの精度低下を防ごうとする手法のことです。
選択肢4：カウントエンコーディングとは、カテゴリ変数を数値化する方法の1つで、データにカテゴリが登場した回数をカテゴリの数値として割り振る手法のことです。例えば、ユーザーデータがあり、データ全体で血液型がB型である人が15人いた場合、B型を15と数値に変換します。"
97,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
人工知能の進化と半導体の進化には密接な関係性がある。半導体には、パソコンの頭脳と言われており、汎用的な演算処理装置である（ア）、画像処理が得意な演算処理装置である（イ）などがある。（イ）は並列的な処理に向いているため、ディープラーニングと相性が良い。また、画像処理が得意な（イ）を、画像処理以外の処理でも活用できるように改良した演算処理装置（ウ）が台頭してきた。",GPU,ELSI,CPU,NDA,3,"選択肢3が正解です。
CPUとは、パソコンの頭脳と言われており、汎用的な演算処理を行う装置のことです。

選択肢1：GPUとは、画像に関する演算処理を行う装置です。GPUは、CPUよりコア数が多く並列処理に優れており、単純な演算処理を大量に行うことができます。
選択肢2：ELSIとは、Ethical、 Legal and Social Issuesの頭文字をとったもので、倫理的・法的・社会的な課題の総称のことです。
選択肢4：NDAとは、取引を行うもの同士が営業秘密等を開示しないように、締結する秘密保持に関する契約のことです。"
98,ディープラーニングの概要,"（イ）に最もよく当てはまる選択肢を選んでください。
人工知能の進化と半導体の進化には密接な関係性がある。半導体には、パソコンの頭脳と言われており、汎用的な演算処理装置である（ア）、画像処理が得意な演算処理装置である（イ）などがある。（イ）は並列的な処理に向いているため、ディープラーニングと相性が良い。また、画像処理が得意な（イ）を、画像処理以外の処理でも活用できるように改良した演算処理装置（ウ）が台頭してきた。",GPU,ELSI,CPU,NDA,1,"選択肢1が正解です。
GPUとは、画像に関する演算処理を行う装置です。GPUは、CPUよりコア数が多く並列処理に優れており、単純な演算処理を大量に行うことができます。

選択肢2：ELSIとは、Ethical、 Legal and Social Issuesの頭文字をとったもので、倫理的・法的・社会的な課題の総称のことです。
選択肢3：CPUとは、パソコンの頭脳と言われており、汎用的な演算処理を行う装置のことです。
選択肢4：NDAとは、取引を行うもの同士が営業秘密等を開示しないように、締結する秘密保持に関する契約のことです。"
99,ディープラーニングの概要,"（ウ）に最もよく当てはまる選択肢を選んでください。
人工知能の進化と半導体の進化には密接な関係性がある。半導体には、パソコンの頭脳と言われており、汎用的な演算処理装置である（ア）、画像処理が得意な演算処理装置である（イ）などがある。（イ）は並列的な処理に向いているため、ディープラーニングと相性が良い。また、画像処理が得意な（イ）を、画像処理以外の処理でも活用できるように改良した演算処理装置（ウ）が台頭してきた。",BERT,GPGPU,AUC,BPR（Business Process Reengineering）,2,"選択肢2が正解です。
GPGPUとは、画像処理が得意なGPUを、画像処理以外の処理でも活用できるように改良した演算処理装置のことです。

選択肢1：BERTとは、Googleが開発した自然言語処理モデルのことです。また、BERTは従来のモデルで使用されていたLSTMの代わりに、トランスフォーマーと呼ばれるモデルを採用しています。
選択肢3：AUCとは、ROC曲線の下の部分の面積のことで、面積が1に近いほどモデルの性能は高いとされています。
選択肢4：BPR（Business Process Reengineering）とは、ビジネスプロセスを見直して再設計することを言います。AIを最大限活用できるように、ビジネスプロセスを再設計することが大切になります。"
100,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
ニューラルネットワークの隠れ層にはシグモイド関数が使われていたが、勾配消失問題が生じやすかった。そこで、シグモイド関数の代わりに（ア）を使うことが提案された。（ア）に変えたことで、勾配消失問題が以前よりも発生しにくくなった。また、（ア）から（イ）が使われるようになることで、さらに勾配消失問題が発生しにくくなった。",行動価値関数,tanh関数,カーネル関数,ステップ関数,2,"選択肢2が正解です。
tanh関数（ハイパボリックタンジェント関数）とは、活性化関数の1種で、-1から1の値を出力する関数のことです。また、tanh関数は、シグモイド関数を線形変換した関数であり、隠れ層の活性化関数をシグモイド関数からtanh関数に変更することで勾配消失問題が緩和されます。

選択肢1：行動価値関数とは、ある状態において行動した結果、将来的に得られる報酬の合計を返す関数のことです。
選択肢3：カーネル関数とは、サポートベクターマシン（SVM）において、次元を拡張させるときに使用される関数のことです。
選択肢4：ステップ関数とは、活性化関数の1種で、入力値が0未満なら出力値が0、入力値が0以上なら出力値が1になる関数です。"
101,ディープラーニングの概要,"（イ）に最もよく当てはまる選択肢を選んでください。
ニューラルネットワークの隠れ層にはシグモイド関数が使われていたが、勾配消失問題が生じやすかった。そこで、シグモイド関数の代わりに（ア）を使うことが提案された。（ア）に変えたことで、勾配消失問題が以前よりも発生しにくくなった。また、（ア）から（イ）が使われるようになることで、さらに勾配消失問題が発生しにくくなった。",状態価値関数,ReLU関数,ソフトマックス関数,恒等関数,2,"選択肢2が正解です。
ReLu関数とは、活性化関数の1種で、入力値が0以下のときは0、入力値が0を超えるときは入力値をそのまま出力する関数のことです。ReLu関数を使用することで、勾配が消失しにくくなるという特徴があります。

選択肢1：状態価値関数とは、ある状態において、将来的に得られる報酬の合計を返す関数のことです。
選択肢3：ソフトマックス関数とは、活性化関数の1種で、多クラス分類のときに使われる関数です。
選択肢4：恒等関数とは、活性化関数の1種で、回帰問題のときに使われる関数です。"
102,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
入力値が0より小さい場合、入力値をα倍した値を出力、0以上の場合には入力値と同じ値を出力する関数を（ア）という。",ステップ関数,恒等関数,カーネル関数,Leaky ReLU関数,4,"選択肢4が正解です。
Leaky ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。Leaky ReLU関数は、ReLU関数を改良した関数になっています。

選択肢1：ステップ関数とは、活性化関数の1種で、入力値が0未満なら出力値が0、入力値が0以上なら出力値が1になる関数です。
選択肢2：恒等関数とは、活性化関数の1種で、回帰問題のときに使われる関数です。
選択肢3：カーネル関数とは、サポートベクターマシン（SVM）において、次元を拡張させるときに使用される関数のことです。"
103,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
アナログデータをデジタルデータに変換することを（ア）という。また、音声データをデジタルデータに変換するときは、一般に（イ）という手法を使う。さらに、デジタル化した音声信号を周波数スペクトルに変換するために（ウ）という手法を使う。",A-D変換,クロス変換,高速フーリエ変換,リカレント変換,1,"選択肢1が正解です。
A-D変換（アナログデジタル変換）とは、アナログデータからデジタルデータに変換することです。

選択肢2：クロス変換という用語はありません。
選択肢3：高速フーリエ変換（FFT）とは、高速に音声信号を周波数スペクトルに変換する手法のことです。
選択肢4：リカレント変換という用語はありません。"
104,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
アナログデータをデジタルデータに変換することを（ア）という。また、音声データをデジタルデータに変換するときは、一般に（イ）という手法を使う。さらに、デジタル化した音声信号を周波数スペクトルに変換するために（ウ）という手法を使う。",スパース化,方策勾配法,形態素解析,パルス符号変調,4,"選択肢4が正解です。
パルス符号変調（PCM）とは、音声などのアナログ信号をデジタル信号に変換するときに使用される手法です。

選択肢1：スパース化とは、モデルに使用する特徴量の数を減らし、過学習が起きるのを防ぐ手法です。スパークは、「まばらな」や「すかすか」を意味します。
選択肢2：方策勾配法とは、エージェントの方策を、パラメータを持った関数と定義し、方策の価値が最大になるようにパラメータを学習させる手法のことを言います
選択肢3：形態素解析とは、文章を意味を持つ最小の単位（形態素）に切り分けて解析を行うことです。"
105,ディープラーニングの手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
アナログデータをデジタルデータに変換することを（ア）という。また、音声データをデジタルデータに変換するときは、一般に（イ）という手法を使う。さらに、デジタル化した音声信号を周波数スペクトルに変換するために（ウ）という手法を使う。",A-D変換,クロス変換,高速フーリエ変換,リカレント変換,3,"選択肢3が正解です。
高速フーリエ変換（FFT）とは、高速に音声信号を周波数スペクトルに変換する手法のことです。

選択肢1：A-D変換（アナログデジタル変換）とは、アナログデータからデジタルデータに変換することです。
選択肢2：クロス変換という用語はありません。
選択肢4：リカレント変換という用語はありません。"
106,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
人間が感じる音高の変化の尺度のことを（ア）という。",経験再生,F値,ブルートフォース,メル尺度,4,"選択肢4が正解です。
メル尺度とは、人間が感じる音高の変化の尺度のことです。人間は高音になればなるほど音の高さの変化を感じにくいという特徴があります。

選択肢1：経験再生とは、DQNにおいて学習の精度を高める方法の1つで、エージェントがとった行動などをデータとして蓄積しておき、学習時などにランダムにデータを抜き出し学習に使う手法のことです。
選択肢2：F値とは、適合率と再現率の調和平均のことです。F値は、「（ 2 × 適合率 × 再現率）÷（適合率＋再現率）」で求めることができます。
選択肢3：ブルートフォースとは、総当たり攻撃、力ずくという意味です。また、全パターンを調べて最適な手を見つけ出すモンテカルロ法はブルートフォースで押し切る方法になります。"
107,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
単語を低次元の実数値のベクトルで表現することを（ア）という。単語を（ア）で表すことで、ベクトル間の距離や位置関係から単語の意味を表現することができる。単語の（ア）を得る手法として（イ）がある。",潜在表現,局所表現,内部表現,分散表現,4,"選択肢4が正解です。
分散表現（単語埋め込み）とは、単語を低次元の実数値のベクトルで表現する方法のことです。

選択肢1：潜在表現とは、深層学習などによって観測データから本質的な特徴（特徴量）を抽出して表現することです。また、内部表現とも呼ばれています。
選択肢2：局所表現とは、1つの概念をワンホットベクトル（1つの値が1、他の値が0になっているベクトル）で表すような表現方法のことを言います。
選択肢3：内部表現とは、深層学習などによって観測データから本質的な特徴（特徴量）を抽出して表現することです。また、潜在表現とも呼ばれています。"
108,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
単語を低次元の実数値のベクトルで表現することを（ア）という。単語を（ア）で表すことで、ベクトル間の距離や位置関係から単語の意味を表現することができる。単語の（ア）を得る手法として（イ）がある。",WordNet,word2vec,BoW,CBOW,2,"選択肢2が正解です。
word2vecとは、自然言語処理の1つで、単語の意味は周囲の単語によって決まるという分布仮説とニューラルネットワークを用いた手法になります。

選択肢1：WordNetとは、英語の語彙データベースであり、語彙の類義語や上位概念・下位概念などの情報がまとめられています。
選択肢3：BoW（Bag-of-Words）とは、単語の順番は考えず、文章中の単語の出現回数をカウントしたものをベクトルとして表現する手法のことです。
選択肢4：CBOW（Continuous Bag-of-Words）とは、word2vecのモデルの1つで、周囲の単語からある単語を推測する手法のことを言います。"
109,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
文脈解析において、代名詞などを推定することを（ア）、関連した一連の文の意味的な関係性を推定することを（イ）という。",照応解析,係り受け解析,句構造解析,談話構造解析,1,"選択肢1が正解です。
照応解析とは、代名詞の指示対象を推定したり、省略された名詞を推定したりすることです。

選択肢2：係り受け解析とは、主語や述語、修飾語や被修飾語のように、単語同士の関係性を推定することです。
選択肢3：句構造解析とは、文の句構造を推定することです。
選択肢4：談話構造解析とは、関連した一連の文の意味的な関係性を推定することです。"
110,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
文脈解析において、代名詞などを推定することを（ア）、関連した一連の文の意味的な関係性を推定することを（イ）という。",照応解析,係り受け解析,句構造解析,談話構造解析,4,"選択肢4が正解です。
談話構造解析とは、関連した一連の文の意味的な関係性を推定することです。

選択肢1：照応解析とは、代名詞の指示対象を推定したり、省略された名詞を推定したりすることです。
選択肢2：係り受け解析とは、主語や述語、修飾語や被修飾語のように、単語同士の関係性を推定することです。
選択肢3：句構造解析とは、文の句構造を推定することです。"
111,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
音声の違いを表すスペクトル上の大まかな形を表した線を（ア）という。また、（ア）を求めるときに（イ）を用いる方法が一般的である。",フォルマント周波数,スペクトル包絡,周波数スペクトル,フォルマント,2,"選択肢2が正解です。
スペクトル包絡とは、音声の違いを表すスペクトル上の大まかな形を表した線のことです。

選択肢1：フォルマント周波数とは、音声の周波数スペクトルに現れる周囲よりも強度が大きい周波数帯域であるフォルマントに対応する周波数のことです。
選択肢3：周波数スペクトルとは、音などの波を成分に分解し、各成分（周波数）を見やすく並べたものです。
選択肢4：フォルマントとは、音声の周波数スペクトルに現れる周囲よりも強度が大きい周波数帯域のことをいいます。"
112,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
音声の違いを表すスペクトル上の大まかな形を表した線を（ア）という。また、（ア）を求めるときに（イ）を用いる方法が一般的である。",ELMo,MFCC,SSD,CBOW,2,"選択肢2が正解です。
MFCC（メル周波数ケプストラム係数）は、スペクトル包絡を求めるときによく用いられる手法です。

選択肢1：ELMoとは、word2vecを改良したモデルで、双方向リカレントニューラルネットワークを活用しており、複数の意味を持つ単語でも前後文から適切な意味を推測することが可能です。
選択肢3：SSDとは、YOLOと同じように物体の認識と物体領域の切り出しを同時に行う手法のことです。
選択肢4：CBOW（Continuous Bag-of-Words）とは、word2vecのモデルの1つで、周囲の単語からある単語を推測する手法のことを言います。"
113,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
画像や音声など様々なデータから一定の規則・ルールを見つけ識別することを（ア）という。",ルール認識,パターン認識,画音認識,一般認識,2,"選択肢2が正解です。
パターン認識とは、画像や音声など様々なデータから一定のパターン・特徴を見つけ識別し、取り出す技術のことを言います。音声認識、顔認識、文字認識などはパターン認識の代表的な例です。

選択肢1：ルール認識という用語はありません。
選択肢3：画音認識という用語はありません。
選択肢4：一般認識という用語はありません。"
114,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
BoW（Bag-of-Words）とは、単語の順番は考えず、文章中の単語の出現回数をカウントしたものを（ア）として表現する手法である。（ア）で表現するまでには、4つのステップが存在する。まず1ステップ目が、文章を単語に分割することである。2ステップ目では、分割した単語にIDをつけていく。3ステップ目では、全ての単語を（イ）に変換する。4ステップ目では、各（イ）を足し合わせていく。以上の4ステップから、作成していく。",関数,樹形図,ベクトル,意味ネットワーク,3,"選択肢3が正解です。
ベクトルとは、大きさと方向の両方を持つ量のことです。

選択肢1：関数とは、ある値が決まったとき、他の値も決まる関係性を表した式のことです。
選択肢2：樹形図とは、樹木のように枝分かれした形の図のことです。
選択肢4：意味ネットワークとは、概念間の意味関係を表現するために使われるもので、概念をノードで表し、概念の意味関係をリンクで表していきます。"
115,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
BoW（Bag-of-Words）とは、単語の順番は考えず、文章中の単語の出現回数をカウントしたものを（ア）として表現する手法である。（ア）で表現するまでには、4つのステップが存在する。まず1ステップ目が、文章を単語に分割することである。2ステップ目では、分割した単語にIDをつけていく。3ステップ目では、全ての単語を（イ）に変換する。4ステップ目では、各（イ）を足し合わせていく。以上の4ステップから、作成していく。",ワンホットベクトル,SHAP,Q値,エントロピー,1,"選択肢1が正解です。
ワンホットベクトルとは、1つの値が1、他の値が0になっているベクトルのことを言います。

選択肢2：SHAPとは、ゲーム理論におけるShapley値を利用して、それぞれの特徴量が予測にどの程度影響を与えたかを算出する手法のことです。
選択肢3：Q値とは、行動価値関数から返ってくる値のことです。
選択肢4：エントロピーとは、乱雑な状態の度合いを表す用語で、不純度の指標などで使われる概念です。"
116,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
入力画像のピクセルの間隔をあけて畳み込み処理を行う手法のことを（ア）という。",潜在的ディリクレ配分法,デュエリングネットワーク,Dilated Convolution（Atrous Convolution）,グローバルアベレージプーリング,3,"選択肢3が正解です。
Dilated Convolution（Atrous Convolution）とは、入力画像のピクセルの間隔をあけて畳み込み処理を行う手法のことです。

選択肢1：潜在的ディリクレ配分法（LDA）とは、トピックモデルの代表的な手法の1つです。
選択肢2：デュエリングネットワークとは、強化学習のネットワークを改良したもので、行動価値関数や状態価値関数などを活用したモデルのことです。Q値を状態価値と行動のアドバンテージ価値の2つに分けて学習していきます。
選択肢4：グローバルアベレージプーリング（GAP）とは、チャンネルごとの特徴マップの平均値を求めて、それをまとめる処理のことです。"
117,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
福島によって、単純型細胞、複雑型細胞のはたらきをもとに（ア）と呼ばれるモデルが作られる。（ア）は初期のCNNモデルである。",単純パーセプトロン,ネオコグニトロン,リカレントニューラルネットワーク（RNN）,ファインチューニング,2,"選択肢2が正解です。
ネオコグニトロンとは、福島邦彦氏によって提唱されたCNNのもとになったモデルのことで、人間の視覚野に関する神経細胞をもとに作られたものです。S細胞層とC細胞層を交互に接続し、人間の脳の視覚野を再現しています。

選択肢1：単純パーセプトロンとは、1958年に提案されたニューラルネットワークで、入力層と出力層からなるモデルのことです。活性化関数として、ステップ関数が用いられています。
選択肢3：リカレントニューラルネットワーク（RNN）とは、音声処理、自然言語処理、時系列データなどの学習に用いられるニューラルネットワークです。
選択肢4：ファインチューニングとは、学習済みのモデルの一部と新しく追加したモデルを組み合わせたモデルなどのパラメータを微調整することを言います。"
118,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
過去のデータだけではなく、未来のデータからも学習できるようにしたモデルのことを（ア）という。自然言語処理の場合、過去の単語だけではなく、未来の単語も使用することで意味の推測精度を高めることができる。",双方向RNN,CNN,積層オートエンコーダ,単純パーセプトロン,1,"選択肢1が正解です。
双方向RNNとは、過去のデータだけではなく、未来のデータからも学習できるようにしたモデルのことです。

選択肢2：CNNとは、畳み込みニューラルネットワークのことで、画像認識の分野に特化したニューラルネットワークです。CNNは、OCR、パターン認識など幅広い分野で使用されています。
選択肢3：積層オートエンコーダとは、オートエンコーダを何層も重ね合わせたもので、入力層から出力層にかけて学習を行っていく手法を取ります。
選択肢4：単純パーセプトロンとは、1958年に提案されたニューラルネットワークで、入力層と出力層からなるモデルのことです。活性化関数として、ステップ関数が用いられています。"
119,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
画像などを分類するモデルのことを（ア）といい、画像など新しいデータを作るモデルを（イ）という。",作成モデル,識別モデル,生成モデル,分別モデル,2,"選択肢2が正解です。
識別モデルとは、画像などを分類・識別することを目的としたモデルのことです。

選択肢1：作成モデルという用語はありません。
選択肢3：生成モデルとは、画像などの新しいデータを生成することを目的としたモデルのことです。新しいデータを作り出すタスクのことを生成タスクといいます。
選択肢4：分別モデルという用語はありません。"
120,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
画像などを分類するモデルのことを（ア）といい、画像など新しいデータを作るモデルを（イ）という。",作成モデル,識別モデル,生成モデル,分別モデル,3,"選択肢3が正解です。
生成モデルとは、画像などの新しいデータを生成することを目的としたモデルのことです。新しいデータを作り出すタスクのことを生成タスクといいます。

選択肢1：作成モデルという用語はありません。
選択肢2：識別モデルとは、画像などを分類・識別することを目的としたモデルのことです。
選択肢4：分別モデルという用語はありません。"
121,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
（ア）は、FCNと同様にCNNで使われている全結合層を畳み込み層に置き換えたネットワークを持ち、エンコーダとデコーダの構造を採用しているモデルである。",SegNet,EfficientNet,MnasNet,AlexNet,1,"選択肢1が正解です。
SegNet（セグネット）とは、セマンティックセグメンテーションの代表的な手法の1つで、FCNと同様にCNNで使われている全結合層を畳み込み層に置き換えたネットワークを持ちます。また、エンコーダとデコーダの構造を取り入れています。

選択肢2：EfficientNetとは、Googleが発表したもので、ネットワークの幅・深さ・解像度を1つの複合係数を使い、少ないパラメータ数で精度の高い処理を行うモデルのことです。また、転移学習に有用なモデルとして活用されています。
選択肢3：MnasNetとは、モバイル端末などでも使用できるように設計されたNASのことです。
選択肢4：AlexNetとは、2012年に画像認識の精度を競う大会であるILSVRCにて、圧倒的な精度で優勝したモデルのことです。2012年当時は、画像認識には機械学習が用いられており、特徴量は人間が決めていました。一方、AlexNetではディープラーニング技術が採用されていました。"
122,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
GPTやBERTは、大規模データを使用して（ア）したモデルを、用途に合わせて（イ）をすることで、様々なタスクを解くことができます。",メタ学習,事前学習,模倣学習,転移学習,2,"選択肢2が正解です。
事前学習とは、移転学習などで用いられるモデルを作るために、大量のデータを使って学習を行うことです。

選択肢1：メタ学習とは、学習の仕方を学習する方法のことです。以前に行った学習から、最適なパラメータの初期値などの知見を獲得することで、その知見を使って効率的に学習を行うことができます。
選択肢3：模倣学習とは、人間がロボットをコントロールして期待される方策を学習させる方法のことです。
選択肢4：転移学習とは、ある領域で学習させたモデルを、別の領域で活用する技術のことを言います。学習済みのモデルを活用することで、0からモデルを構築するというコストを削減することができます。"
123,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
GPTやBERTは、大規模データを使用して（ア）したモデルを、用途に合わせて（イ）をすることで、様々なタスクを解くことができます。",メタ学習,事前学習,模倣学習,転移学習,4,"選択肢4が正解です。
転移学習とは、ある領域で学習させたモデルを、別の領域で活用する技術のことを言います。学習済みのモデルを活用することで、0からモデルを構築するというコストを削減することができます。

選択肢1：メタ学習とは、学習の仕方を学習する方法のことです。以前に行った学習から、最適なパラメータの初期値などの知見を獲得することで、その知見を使って効率的に学習を行うことができます。
選択肢2：事前学習とは、移転学習などで用いられるモデルを作るために、大量のデータを使って学習を行うことです。
選択肢3：模倣学習とは、人間がロボットをコントロールして期待される方策を学習させる方法のことです。"
124,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
RNNは、（ア）をもったニューラルネットワークである。また、RNNにおいて、時間軸に沿って誤差を反映させていくことを（イ）という。",再帰構造,Self-Attention,制限付きボルツマンマシン,深層信念ネットワーク,1,"選択肢1が正解です。
RNNは、「再帰構造」をもったニューラルネットワークです。

選択肢2：Self-Attention（自己注意機構）とは、入力文内、出力文内の単語間の関連度を計算するAttentionで、トランスフォーマに採用されているネットワーク構造です。
選択肢3：制限付きボルツマンマシンとは、制限をかけたボルツマンマシンのことです。特徴として、可視層と隠れ層のユニットは結合していますが、同じ層のユニットは結合していません。
選択肢4：深層信念ネットワークとは、ジェフリー・ヒントンが提唱したモデルで、オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたモデルのことです。"
125,ディープラーニングの手法,"（イ）に最もよく当てはまる選択肢を選んでください。
RNNは、（ア）をもったニューラルネットワークである。また、RNNにおいて、時間軸に沿って誤差を反映させていくことを（イ）という。",隠れマルコフモデル（HMM）,Random Erasing,BPTT,パノプティックセグメンテーション,3,"選択肢3が正解です。
BPTT（BackPropagation Through-Time）とは、RNNにおけるパラメータを更新していく手法のことで、時間軸にそって誤差を反映させていきます。

選択肢1：隠れマルコフモデル（HMM）は、音声認識でよく使われていたモデルで、確率モデルの1つです。
選択肢2：Random Erasingとは、データのバリエーションを増やす手法の1つで、画像の一部をランダムな値にして画像を生成する手法のことです。
選択肢4：パノプティックセグメンテーションとは、セマンティックセグメンテーションとインスタンスセグメンテーションを組み合わせた手法のことです。"
126,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
CNNの（ア）は視覚野の局所受容野に対応する。",畳み込み層,プーリング層,全結合層,可視層,1,"選択肢1が正解です。
畳み込み層とは、カーネルを使って画像の特徴を抽出する層のことです。また、視覚野の局所受容野に対応します。

選択肢2：プーリング層とは、畳み込み層で出力した特徴マップを、ルールに従いデータ量を小さくしていく処理を行う層のことです。
選択肢3：全結合層とは、畳み込み層で抽出された特徴マップをもとに目的に応じた値を出力するための層のことです。
選択肢4：可視層とは、入力層と出力層がセットになったもので、オートエンコーダの層の1つです。"
127,ディープラーニングの手法,"（ア）に最もよく当てはまる選択肢を選んでください。
Googleが発表した（ア）は、ネットワークの幅・深さ・解像度などのスケーリングに関して1つの複合係数を使って調整を行うことで、少ないパラメータ数で高い精度を叩き出した。また、（ア）は（イ）に向いているモデルの1つである。",EfficientNet,MobileNet,NASNet,VGGNet,1,"選択肢1が正解です。
EfficientNetとは、Googleが発表したもので、ネットワークの幅・深さ・解像度を1つの複合係数を使い、少ないパラメータ数で精度の高い処理を行うモデルのことです。また、転移学習に有用なモデルとして活用されています。

選択肢2：MobileNetとは、スマートフォンなどのモバイル端末でも使用できるほど計算量やメモリ使用量が小さいモデルのことです。また、MobileNetでは、Depthwise Separable Convolutionという手法が使われています。
選択肢3：NASNetとは、ResNetのResidual BlockをベースにしたNASで、Googleによって発表されたものです。
選択肢4：VGGNetとは、オックスフォード大学のVGG（Visual Geometry Group）が開発したCNNで、AlexNetよりも層をより深くしたモデルになっています。また、少ない層で学習を行い、後から層を追加することで層を深くする方法を採用しています。"
